1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
-2147352564,  	"Unknown language."
-2147352563,  	"Memory is locked."
-2147352562,  	"Invalid number of parameters."
-2147352561,  	"Parameter not optional."
-2147352560,  	"Invalid callee."
-2147352559,  	"Does not support a collection."
-2147352558,  	"Division by zero."
-2147352557,  	"Buffer too small"
-2147319786,  	"Buffer too small."
-2147319785,  	"Field name not defined in the record."
-2147319784,  	"Old format or invalid type library."
-2147319783,  	"Old format or invalid type library."
-2147319780,  	"Error accessing the OLE registry."
-2147319779,  	"Library not registered."
-2147319769,  	"Bound to unknown type."
-2147319768,  	"Qualified name disallowed."
-2147319767,  	"Invalid forward reference, or reference to uncompiled type."
-2147319766,  	"Type mismatch."
-2147319765,  	"Element not found."
-2147319764,  	"Ambiguous name."
-2147319763,  	"Name already exists in the library."
-2147319762,  	"Unknown LCID."
-2147319761,  	"Function not defined in specified DLL."
-2147317571,  	"Wrong module kind for the operation."
-2147317563,  	"Size may not exceed 64K."
-2147317562,  	"Duplicate ID in inheritance hierarchy."
-2147317553,  	"Incorrect inheritance depth in standard OLE hmember."
-2147316576,  	"Type mismatch."
-2147316575,  	"Invalid number of arguments."
-2147316574,  	"I/O Error."
-2147316573,  	"Error creating unique tmp file."
-2147312566,  	"Error loading type library/DLL."
-2147312509,  	"Inconsistent property functions."
-2147312508,  	"Circular dependency between types/modules."
-2147287039,  	"Unable to perform requested operation."
-2147287038,  	"%1 could not be found."
-2147287037,  	"The path %1 could not be found."
-2147287036,  	"There are insufficient resources to open another file."
-2147287035,  	"Access Denied."
-2147287034,  	"Attempted an operation on an invalid object."
-2147287032,  	"There is insufficient memory available to complete operation."
-2147287031,  	"Invalid pointer error."
-2147287022,  	"There are no more entries to return."
-2147287021,  	"Disk is write-protected."
-2147287015,  	"An error occurred during a seek operation."
-2147287011,  	"A disk error occurred during a write operation."
-2147287010,  	"A disk error occurred during a read operation."
-2147287008,  	"A share violation has occurred."
-2147287007,  	"A lock violation has occurred."
-2147286960,  	"%1 already exists."
-2147286953,  	"Invalid parameter error."
-2147286928,  	"There is insufficient disk space to complete operation."
-2147286800,  	"Illegal write of non-simple property to simple property set."
-2147286790,  	"An API call exited abnormally."
-2147286789,  	"The file %1 is not a valid compound file."
-2147286788,  	"The name %1 is not valid."
-2147286787,  	"An unexpected error occurred."
-2147286786,  	"That function is not implemented."
-2147286785,  	"Invalid flag error."
-2147286784,  	"Attempted to use an object that is busy."
-2147286783,  	"The storage has been changed since the last commit."
-2147286782,  	"Attempted to use an object that has ceased to exist."
-2147286781,  	"Can't save."
-2147286780,  	"The compound file %1 was produced with an incompatible version of storage."
-2147286779,  	"The compound file %1 was produced with a newer version of storage."
-2147286778,  	"Share.exe or equivalent is required for operation."
-2147286777,  	"Illegal operation called on non-file based storage."
-2147286776,  	"Illegal operation called on object with extant marshallings."
-2147286775,  	"The docfile has been corrupted."
-2147286768,  	"OLE32.DLL has been loaded at the wrong address."
-2147286767,  	"The compound file is too large for the current implementation"
-2147286766,  	"The compound file was not created with the STGM_SIMPLE flag"
-2147286527,  	"The file download was aborted abnormally.  The file is incomplete."
-2147286526,  	"The file download has been terminated."
-2147286267,  	"Generic Copy Protection Error."
-2147286266,  	"Copy Protection Error - DVD CSS Authentication failed."
-2147286265,  	"Copy Protection Error - The given sector does not have a valid CSS key."
-2147286264,  	"Copy Protection Error - DVD session key not established."
-2147286263,  	"Copy Protection Error - The read failed because the sector is encrypted."
-2147286262,  	"Copy Protection Error - The current DVD's region does not correspond to the region setting of the drive."
-2147286261,  	"Copy Protection Error - The drive's region setting may be permanent or the number of user resets has been exhausted."
-2147221504,  	"Invalid OLEVERB structure"
-2147221503,  	"Invalid advise flags"
-2147221502,  	"Can't enumerate any more, because the associated data is missing"
-2147221501,  	"This implementation doesn't take advises"
-2147221500,  	"There is no connection for this connection ID"
-2147221499,  	"Need to run the object to perform this operation"
-2147221498,  	"There is no cache to operate on"
-2147221497,  	"Uninitialized object"
-2147221496,  	"Linked object's source class has changed"
-2147221495,  	"Not able to get the moniker of the object"
-2147221494,  	"Not able to bind to the source"
-2147221493,  	"Object is static; operation not allowed"
-2147221492,  	"User canceled out of save dialog"
-2147221491,  	"Invalid rectangle"
-2147221490,  	"compobj.dll is too old for the ole2.dll initialized"
-2147221489,  	"Invalid window handle"
-2147221488,  	"Object is not in any of the inplace active states"
-2147221487,  	"Not able to convert object"
-2147221486,  	"Not able to perform the operation because object is not given storage yet"
-2147221404,  	"Invalid FORMATETC structure"
-2147221403,  	"Invalid DVTARGETDEVICE structure"
-2147221402,  	"Invalid STDGMEDIUM structure"
-2147221401,  	"Invalid STATDATA structure"
-2147221400,  	"Invalid lindex"
-2147221399,  	"Invalid tymed"
-2147221398,  	"Invalid clipboard format"
-2147221397,  	"Invalid aspect(s)"
-2147221396,  	"tdSize parameter of the DVTARGETDEVICE structure is invalid"
-2147221395,  	"Object doesn't support IViewObject interface"
-2147221248,  	"Trying to revoke a drop target that has not been registered"
-2147221247,  	"This window has already been registered as a drop target"
-2147221246,  	"Invalid window handle"
-2147221232,  	"Class does not support aggregation (or class object is remote)"
-2147221231,  	"ClassFactory cannot supply requested class"
-2147221230,  	"Class is not licensed for use"
-2147221184,  	"Error drawing view"
-2147221168,  	"Could not read key from registry"
-2147221167,  	"Could not write key to registry"
-2147221166,  	"Could not find the key in the registry"
-2147221165,  	"Invalid value for registry"
-2147221164,  	"Class not registered"
-2147221163,  	"Interface not registered"
-2147221162,  	"Threading model entry is not valid"
-2147221152,  	"CATID does not exist"
-2147221151,  	"Description not found"
-2147221148,  	"No package in the software installation data in the Active Directory meets this criteria."
-2147221147,  	"Deleting this will break the referential integrity of the software installation data in the Active Directory."
-2147221146,  	"The CLSID was not found in the software installation data in the Active Directory."
-2147221145,  	"The software installation data in the Active Directory is corrupt."
-2147221144,  	"There is no software installation data in the Active Directory."
-2147221143,  	"There is no software installation data object in the Active Directory."
-2147221142,  	"The software installation data object in the Active Directory already exists."
-2147221141,  	"The path to the software installation data in the Active Directory is not correct."
-2147221140,  	"A network error interrupted the operation."
-2147221139,  	"The size of this object exceeds the maximum size set by the Administrator."
-2147221138,  	"The schema for the software installation data in the Active Directory does not match the required schema."
-2147221137,  	"An error occurred in the software installation data in the Active Directory."
-2147221136,  	"Cache not updated"
-2147221120,  	"No verbs for OLE object"
-2147221119,  	"Invalid verb for OLE object"
-2147221088,  	"Undo is not available"
-2147221087,  	"Space for tools is not available"
-2147221056,  	"OLESTREAM Get method failed"
-2147221055,  	"OLESTREAM Put method failed"
-2147221054,  	"Contents of the OLESTREAM not in correct format"
-2147221053,  	"There was an error in a Windows GDI call while converting the bitmap to a DIB"
-2147221052,  	"Contents of the IStorage not in correct format"
-2147221051,  	"Contents of IStorage is missing one of the standard streams"
-2147221050,  	"There was an error in a Windows GDI call while converting the DIB to a bitmap.\n"
-2147221040,  	"OpenClipboard Failed"
-2147221039,  	"EmptyClipboard Failed"
-2147221038,  	"SetClipboard Failed"
-2147221037,  	"Data on clipboard is invalid"
-2147221036,  	"CloseClipboard Failed"
-2147221024,  	"Moniker needs to be connected manually"
-2147221023,  	"Operation exceeded deadline"
-2147221022,  	"Moniker needs to be generic"
-2147221021,  	"Operation unavailable"
-2147221020,  	"Invalid syntax"
-2147221019,  	"No object for moniker"
-2147221018,  	"Bad extension for file"
-2147221017,  	"Intermediate operation failed"
-2147221016,  	"Moniker is not bindable"
-2147221015,  	"Moniker is not bound"
-2147221014,  	"Moniker cannot open file"
-2147221013,  	"User input required for operation to succeed"
-2147221012,  	"Moniker class has no inverse"
-2147221011,  	"Moniker does not refer to storage"
-2147221010,  	"No common prefix"
-2147221009,  	"Moniker could not be enumerated"
-2147221008,  	"CoInitialize has not been called."
-2147221007,  	"CoInitialize has already been called."
-2147221006,  	"Class of object cannot be determined"
-2147221005,  	"Invalid class string"
-2147221004,  	"Invalid interface string"
-2147221003,  	"Application not found"
-2147221002,  	"Application cannot be run more than once"
-2147221001,  	"Some error in application program"
-2147221000,  	"DLL for class not found"
-2147220999,  	"Error in the DLL"
-2147220998,  	"Wrong OS or OS version for application"
-2147220997,  	"Object is not registered"
-2147220996,  	"Object is already registered"
-2147220995,  	"Object is not connected to server"
-2147220994,  	"Application was launched but it didn't register a class factory"
-2147220993,  	"Object has been released"
-2147220991,  	"An event was unable to invoke any of the subscribers"
-2147220989,  	"A syntax error occurred trying to evaluate a query string"
-2147220988,  	"An invalid field name was used in a query string"
-2147220987,  	"An unexpected exception was raised"
-2147220986,  	"An unexpected internal error was detected"
-2147220985,  	"The owner SID on a per-user subscription doesn't exist"
-2147220984,  	"A user-supplied component or subscriber raised an exception"
-2147220983,  	"An interface has too many methods to fire events from"
-2147220982,  	"A subscription cannot be stored unless its event class already exists"
-2147220981,  	"Not all the objects requested could be removed"
-2147220980,  	"COM+ is required for this operation, but is not installed"
-2147220979,  	"Cannot modify or delete an object that was not added using the COM+ Admin SDK"
-2147220978,  	"Cannot modify or delete an object that was added using the COM+ Admin SDK"
-2147220977,  	"The event class for this subscription is in an invalid partition"
-2147220976,  	"The owner of the PerUser subscription is not logged on to the system specified"
-2147216631,  	"Trigger not found."
-2147216630,  	"One or more of the properties that are needed to run this task have not been set."
-2147216629,  	"There is no running instance of the task to terminate."
-2147216628,  	"The Task Scheduler Service is not installed on this computer."
-2147216627,  	"The task object could not be opened."
-2147216626,  	"The object is either an invalid task object or is not a task object."
-2147216625,  	"No account information could be found in the Task Scheduler security database for the task indicated."
-2147216624,  	"Unable to establish existence of the account specified."
-2147216623,  	"Corruption was detected in the Task Scheduler security database; the database has been reset."
-2147216622,  	"Task Scheduler security services are available only on Windows NT."
-2147216621,  	"The task object version is either unsupported or invalid."
-2147216620,  	"The task has been configured with an unsupported combination of account settings and run time options."
-2147216619,  	"The Task Scheduler Service is not running."
-2147168256,  	"Another single phase resource manager has already been enlisted in this transaction."
-2147168255,  	"A retaining commit or abort is not supported"
-2147168254,  	"The transaction failed to commit for an unknown reason. The transaction was aborted."
-2147168253,  	"Cannot call commit on this transaction object because the calling application did not initiate the transaction."
-2147168252,  	"Instead of committing, the resource heuristically aborted."
-2147168251,  	"Instead of aborting, the resource heuristically committed."
-2147168250,  	"Some of the states of the resource were committed while others were aborted, likely because of heuristic decisions."
-2147168249,  	"Some of the states of the resource may have been committed while others may have been aborted, likely because of heuristic decisions."
-2147168248,  	"The requested isolation level is not valid or supported."
-2147168247,  	"The transaction manager doesn't support an asynchronous operation for this method."
-2147168246,  	"Unable to enlist in the transaction."
-2147168245,  	"The requested semantics of retention of isolation across retaining commit and abort boundaries cannot be supported by this transaction implementation, or isoFlags was not equal to zero."
-2147168244,  	"There is no resource presently associated with this enlistment"
-2147168243,  	"The transaction failed to commit due to the failure of optimistic concurrency control in at least one of the resource managers."
-2147168242,  	"The transaction has already been implicitly or explicitly committed or aborted"
-2147168241,  	"An invalid combination of flags was specified"
-2147168240,  	"The resource manager id is not associated with this transaction or the transaction manager."
-2147168239,  	"This method was called in the wrong state"
-2147168238,  	"The indicated unit of work does not match the unit of work expected by the resource manager."
-2147168237,  	"An enlistment in a transaction already exists."
-2147168236,  	"An import object for the transaction could not be found."
-2147168235,  	"The transaction cookie is invalid."
-2147168234,  	"The transaction status is in doubt. A communication failure occurred, or a transaction manager or resource manager has failed"
-2147168233,  	"A time-out was specified, but time-outs are not supported."
-2147168232,  	"The requested operation is already in progress for the transaction."
-2147168231,  	"The transaction has already been aborted."
-2147168230,  	"The Transaction Manager returned a log full error."
-2147168229,  	"The Transaction Manager is not available."
-2147168228,  	"A connection with the transaction manager was lost."
-2147168227,  	"A request to establish a connection with the transaction manager was denied."
-2147168226,  	"Resource manager reenlistment to determine transaction status timed out."
-2147168225,  	"This transaction manager failed to establish a connection with another TIP transaction manager."
-2147168224,  	"This transaction manager encountered a protocol error with another TIP transaction manager."
-2147168223,  	"This transaction manager could not propagate a transaction from another TIP transaction manager."
-2147168222,  	"The Transaction Manager on the destination machine is not available."
-2147168221,  	"The Transaction Manager has disabled its support for TIP."
-2147168220,  	"The transaction manager has disabled its support for remote/network transactions."
-2147168219,  	"The partner transaction manager has disabled its support for remote/network transactions."
-2147168218,  	"The transaction manager has disabled its support for XA transactions."
-2147168217,  	"MSDTC was unable to read its configuration information."
-2147168216,  	"MSDTC was unable to load the dtc proxy dll."
-2147168215,  	"The local transaction has aborted."
-2147168128,  	"XACT_E_CLERKNOTFOUND"
-2147168127,  	"XACT_E_CLERKEXISTS"
-2147168126,  	"XACT_E_RECOVERYINPROGRESS"
-2147168125,  	"XACT_E_TRANSACTIONCLOSED"
-2147168124,  	"XACT_E_INVALIDLSN"
-2147168123,  	"XACT_E_REPLAYREQUEST"
-2147164158,  	"The root transaction wanted to commit, but transaction aborted"
-2147164157,  	"You made a method call on a COM+ component that has a transaction that has already aborted or in the process of aborting."
-2147164156,  	"There is no MTS object context"
-2147164154,  	"The component is configured to use synchronization and a thread has timed out waiting to enter the context."
-2147164153,  	"You made a method call on a COM+ component that has a transaction that has already committed or aborted."
-2147164148,  	"The specified role was not configured for the application"
-2147164145,  	"COM+ was unable to talk to the Microsoft Distributed Transaction Coordinator"
-2147164127,  	"An unexpected error occurred during COM+ Activation."
-2147164126,  	"COM+ Activation failed. Check the event log for more information"
-2147164125,  	"COM+ Activation failed due to a catalog or configuration error."
-2147164124,  	"COM+ activation failed because the activation could not be completed in the specified amount of time."
-2147164123,  	"COM+ Activation failed because an initialization function failed.  Check the event log for more information."
-2147164122,  	"The requested operation requires that JIT be in the current context and it is not"
-2147164121,  	"The requested operation requires that the current context have a Transaction, and it does not"
-2147164120,  	"The components threading model has changed after install into a COM+ Application.  Please re-install component."
-2147164119,  	"IIS intrinsics not available.  Start your work with IIS."
-2147164118,  	"An attempt to write a cookie failed."
-2147164117,  	"An attempt to use a database generated a database specific error."
-2147164116,  	"The COM+ component you created must use object pooling to work."
-2147164115,  	"The COM+ component you created must use object construction to work correctly."
-2147164114,  	"The COM+ component requires synchronization, and it is not configured for it."
-2147164113,  	"The TxIsolation Level property for the COM+ component being created is stronger than the TxIsolationLevel for the \"root\" component for the transaction.  The creation failed."
-2147024891,  	"General access denied error"
-2147024890,  	"Invalid handle"
-2147024882,  	"Ran out of memory"
-2147024809,  	"One or more arguments are invalid"
-2146959359,  	"Attempt to create a class object failed"
-2146959358,  	"OLE service could not bind object"
-2146959357,  	"RPC communication failed with OLE service"
-2146959356,  	"Bad path to object"
-2146959355,  	"Server execution failed"
-2146959354,  	"OLE service could not communicate with the object server"
-2146959353,  	"Moniker path could not be normalized"
-2146959352,  	"Object server is stopping when OLE service contacts it"
-2146959351,  	"An invalid root block pointer was specified"
-2146959344,  	"An allocation chain contained an invalid link pointer"
-2146959343,  	"The requested allocation size was too large"
-2146893823,  	"Bad UID."
-2146893822,  	"Bad Hash."
-2146893821,  	"Bad Key."
-2146893820,  	"Bad Length."
-2146893819,  	"Bad Data."
-2146893818,  	"Invalid Signature."
-2146893817,  	"Bad Version of provider."
-2146893816,  	"Invalid algorithm specified."
-2146893815,  	"Invalid flags specified."
-2146893814,  	"Invalid type specified."
-2146893813,  	"Key not valid for use in specified state."
-2146893812,  	"Hash not valid for use in specified state."
-2146893811,  	"Key does not exist."
-2146893810,  	"Insufficient memory available for the operation."
-2146893809,  	"Object already exists."
-2146893808,  	"Access denied."
-2146893807,  	"Object was not found."
-2146893806,  	"Data already encrypted."
-2146893805,  	"Invalid provider specified."
-2146893804,  	"Invalid provider type specified."
-2146893803,  	"Provider's public key is invalid."
-2146893802,  	"Keyset does not exist"
-2146893801,  	"Provider type not defined."
-2146893800,  	"Provider type as registered is invalid."
-2146893799,  	"The keyset is not defined."
-2146893798,  	"Keyset as registered is invalid."
-2146893797,  	"Provider type does not match registered value."
-2146893796,  	"The digital signature file is corrupt."
-2146893795,  	"Provider DLL failed to initialize correctly."
-2146893794,  	"Provider DLL could not be found."
-2146893793,  	"The Keyset parameter is invalid."
-2146893792,  	"An internal error occurred."
-2146893791,  	"A base error occurred."
-2146893790,  	"Provider could not perform the action since the context was acquired as silent."
-2146893789,  	"The security token does not have storage space available for an additional container."
-2146893788,  	"The profile for the user is a temporary profile."
-2146893787,  	"The key parameters could not be set because the CSP uses fixed parameters."
-2146893056,  	"Not enough memory is available to complete this request"
-2146893055,  	"The handle specified is invalid"
-2146893054,  	"The function requested is not supported"
-2146893053,  	"The specified target is unknown or unreachable"
-2146893052,  	"The Local Security Authority cannot be contacted"
-2146893051,  	"The requested security package does not exist"
-2146893050,  	"The caller is not the owner of the desired credentials"
-2146893049,  	"The security package failed to initialize, and cannot be installed"
-2146893048,  	"The token supplied to the function is invalid"
-2146893047,  	"The security package is not able to marshall the logon buffer, so the logon attempt has failed"
-2146893046,  	"The per-message Quality of Protection is not supported by the security package"
-2146893045,  	"The security context does not allow impersonation of the client"
-2146893044,  	"The logon attempt failed"
-2146893043,  	"The credentials supplied to the package were not recognized"
-2146893042,  	"No credentials are available in the security package"
-2146893041,  	"The message or signature supplied for verification has been altered"
-2146893040,  	"The message supplied for verification is out of sequence"
-2146893039,  	"No authority could be contacted for authentication."
-2146893034,  	"The requested security package does not exist"
-2146893033,  	"The context has expired and can no longer be used."
-2146893032,  	"The supplied message is incomplete.  The signature was not verified."
-2146893024,  	"The credentials supplied were not complete, and could not be verified. The context could not be initialized."
-2146893023,  	"The buffers supplied to a function was too small."
-2146893022,  	"The target principal name is incorrect."
-2146893020,  	"The clocks on the client and server machines are skewed."
-2146893019,  	"The certificate chain was issued by an authority that is not trusted."
-2146893018,  	"The message received was unexpected or badly formatted."
-2146893017,  	"An unknown error occurred while processing the certificate."
-2146893016,  	"The received certificate has expired."
-2146893015,  	"The specified data could not be encrypted."
-2146893008,  	"The specified data could not be decrypted.\n"
-2146893007,  	"The client and server cannot communicate, because they do not possess a common algorithm."
-2146893006,  	"The security context could not be established due to a failure in the requested quality of service (e.g. mutual authentication or delegation)."
-2146893005,  	"A security context was deleted before the context was completed.  This is considered a logon failure."
-2146893004,  	"The client is trying to negotiate a context and the server requires user-to-user but didn't send a TGT reply."
-2146893003,  	"Unable to accomplish the requested task because the local machine does not have any IP addresses."
-2146893002,  	"The supplied credential handle does not match the credential associated with the security context."
-2146893001,  	"The crypto system or checksum function is invalid because a required function is unavailable."
-2146893000,  	"The number of maximum ticket referrals has been exceeded."
-2146892999,  	"The local machine must be a Kerberos KDC (domain controller) and it is not."
-2146892998,  	"The other end of the security negotiation is requires strong crypto but it is not supported on the local machine."
-2146892997,  	"The KDC reply contained more than one principal name."
-2146892996,  	"Expected to find PA data for a hint of what etype to use, but it was not found."
-2146892995,  	"The client cert name does not matches the user name or the KDC name is incorrect."
-2146892994,  	"Smartcard logon is required and was not used."
-2146892993,  	"A system shutdown is in progress."
-2146892992,  	"An invalid request was sent to the KDC."
-2146892991,  	"The KDC was unable to generate a referral for the service requested."
-2146892990,  	"The encryption type requested is not supported by the KDC."
-2146892989,  	"An unsupported preauthentication mechanism was presented to the kerberos package."
-2146892987,  	"The requested operation requires delegation to be enabled on the machine."
-2146892986,  	"Client's supplied SSPI channel bindings were incorrect."
-2146892985,  	"The received certificate was mapped to multiple accounts."
-2146892984,  	"SEC_E_NO_KERB_KEY"
-2146889727,  	"An error occurred while performing an operation on a cryptographic message."
-2146889726,  	"Unknown cryptographic algorithm."
-2146889725,  	"The object identifier is poorly formatted."
-2146889724,  	"Invalid cryptographic message type."
-2146889723,  	"Unexpected cryptographic message encoding."
-2146889722,  	"The cryptographic message does not contain an expected authenticated attribute."
-2146889721,  	"The hash value is not correct."
-2146889720,  	"The index value is not valid."
-2146889719,  	"The content of the cryptographic message has already been decrypted."
-2146889718,  	"The content of the cryptographic message has not been decrypted yet."
-2146889717,  	"The enveloped-data message does not contain the specified recipient."
-2146889716,  	"Invalid control type."
-2146889715,  	"Invalid issuer and/or serial number."
-2146889714,  	"Cannot find the original signer."
-2146889713,  	"The cryptographic message does not contain all of the requested attributes."
-2146889712,  	"The streamed cryptographic message is not ready to return data."
-2146889711,  	"The streamed cryptographic message requires more data to complete the decode operation."
-2146885631,  	"The length specified for the output data was insufficient."
-2146885630,  	"An error occurred during encode or decode operation."
-2146885629,  	"An error occurred while reading or writing to a file."
-2146885628,  	"Cannot find object or property."
-2146885627,  	"The object or property already exists."
-2146885626,  	"No provider was specified for the store or object."
-2146885625,  	"The specified certificate is self signed."
-2146885624,  	"The previous certificate or CRL context was deleted."
-2146885623,  	"Cannot find the requested object."
-2146885622,  	"The certificate does not have a property that references a private key."
-2146885621,  	"Cannot find the certificate and private key for decryption."
-2146885620,  	"Cannot find the certificate and private key to use for decryption."
-2146885619,  	"Not a cryptographic message or the cryptographic message is not formatted correctly."
-2146885618,  	"The signed cryptographic message does not have a signer for the specified signer index."
-2146885617,  	"Final closure is pending until additional frees or closes."
-2146885616,  	"The certificate is revoked."
-2146885615,  	"No Dll or exported function was found to verify revocation."
-2146885614,  	"The revocation function was unable to check revocation for the certificate."
-2146885613,  	"The revocation function was unable to check revocation because the revocation server was offline."
-2146885612,  	"The certificate is not in the revocation server's database."
-2146885600,  	"The string contains a non-numeric character."
-2146885599,  	"The string contains a non-printable character."
-2146885598,  	"The string contains a character not in the 7 bit ASCII character set."
-2146885597,  	"The string contains an invalid X500 name attribute key, oid, value or delimiter."
-2146885596,  	"The dwValueType for the CERT_NAME_VALUE is not one of the character strings.  Most likely it is either a CERT_RDN_ENCODED_BLOB or CERT_TDN_OCTED_STRING."
-2146885595,  	"The Put operation can not continue.  The file needs to be resized.  However, there is already a signature present.  A complete signing operation must be done."
-2146885594,  	"The cryptographic operation failed due to a local security option setting."
-2146885593,  	"No DLL or exported function was found to verify subject usage."
-2146885592,  	"The called function was unable to do a usage check on the subject."
-2146885591,  	"Since the server was offline, the called function was unable to complete the usage check."
-2146885590,  	"The subject was not found in a Certificate Trust List (CTL)."
-2146885589,  	"None of the signers of the cryptographic message or certificate trust list is trusted."
-2146885588,  	"The public key's algorithm parameters are missing."
-2146881536,  	"OSS Certificate encode/decode error code base\n\nSee asn1code.h for a definition of the OSS runtime errors. The OSS\nerror values are offset by CRYPT_E_OSS_ERROR."
-2146881535,  	"OSS ASN.1 Error: Output Buffer is too small."
-2146881534,  	"OSS ASN.1 Error: Signed integer is encoded as a unsigned integer."
-2146881533,  	"OSS ASN.1 Error: Unknown ASN.1 data type."
-2146881532,  	"OSS ASN.1 Error: Output buffer is too small, the decoded data has been truncated."
-2146881531,  	"OSS ASN.1 Error: Invalid data."
-2146881530,  	"OSS ASN.1 Error: Invalid argument."
-2146881529,  	"OSS ASN.1 Error: Encode/Decode version mismatch."
-2146881528,  	"OSS ASN.1 Error: Out of memory."
-2146881527,  	"OSS ASN.1 Error: Encode/Decode Error."
-2146881526,  	"OSS ASN.1 Error: Internal Error."
-2146881525,  	"OSS ASN.1 Error: Invalid data."
-2146881524,  	"OSS ASN.1 Error: Invalid data."
-2146881523,  	"OSS ASN.1 Error: Unsupported BER indefinite-length encoding."
-2146881522,  	"OSS ASN.1 Error: Access violation."
-2146881521,  	"OSS ASN.1 Error: Invalid data."
-2146881520,  	"OSS ASN.1 Error: Invalid data."
-2146881519,  	"OSS ASN.1 Error: Invalid data."
-2146881518,  	"OSS ASN.1 Error: Internal Error."
-2146881517,  	"OSS ASN.1 Error: Multi-threading conflict."
-2146881516,  	"OSS ASN.1 Error: Invalid data."
-2146881515,  	"OSS ASN.1 Error: Invalid data."
-2146881514,  	"OSS ASN.1 Error: Invalid data."
-2146881513,  	"OSS ASN.1 Error: Encode/Decode function not implemented."
-2146881512,  	"OSS ASN.1 Error: Trace file error."
-2146881511,  	"OSS ASN.1 Error: Function not implemented."
-2146881510,  	"OSS ASN.1 Error: Program link error."
-2146881509,  	"OSS ASN.1 Error: Trace file error."
-2146881508,  	"OSS ASN.1 Error: Trace file error."
-2146881507,  	"OSS ASN.1 Error: Invalid data."
-2146881506,  	"OSS ASN.1 Error: Invalid data."
-2146881505,  	"OSS ASN.1 Error: Program link error."
-2146881504,  	"OSS ASN.1 Error: Program link error."
-2146881503,  	"OSS ASN.1 Error: Program link error."
-2146881502,  	"OSS ASN.1 Error: Program link error."
-2146881501,  	"OSS ASN.1 Error: Program link error."
-2146881500,  	"OSS ASN.1 Error: Program link error."
-2146881499,  	"OSS ASN.1 Error: Program link error."
-2146881498,  	"OSS ASN.1 Error: Program link error."
-2146881497,  	"OSS ASN.1 Error: Program link error."
-2146881496,  	"OSS ASN.1 Error: Program link error."
-2146881495,  	"OSS ASN.1 Error: Program link error."
-2146881494,  	"OSS ASN.1 Error: Program link error."
-2146881493,  	"OSS ASN.1 Error: Program link error."
-2146881492,  	"OSS ASN.1 Error: Program link error."
-2146881491,  	"OSS ASN.1 Error: System resource error."
-2146881490,  	"OSS ASN.1 Error: Trace file error."
-2146881280,  	"ASN1 Certificate encode/decode error code base.\n\nThe ASN1 error values are offset by CRYPT_E_ASN1_ERROR."
-2146881279,  	"ASN1 internal encode or decode error."
-2146881278,  	"ASN1 unexpected end of data."
-2146881277,  	"ASN1 corrupted data."
-2146881276,  	"ASN1 value too large."
-2146881275,  	"ASN1 constraint violated."
-2146881274,  	"ASN1 out of memory."
-2146881273,  	"ASN1 buffer overflow."
-2146881272,  	"ASN1 function not supported for this PDU."
-2146881271,  	"ASN1 bad arguments to function call."
-2146881270,  	"ASN1 bad real value."
-2146881269,  	"ASN1 bad tag value met."
-2146881268,  	"ASN1 bad choice value."
-2146881267,  	"ASN1 bad encoding rule."
-2146881266,  	"ASN1 bad unicode (UTF8)."
-2146881229,  	"ASN1 bad PDU type."
-2146881228,  	"ASN1 not yet implemented."
-2146881023,  	"ASN1 skipped unknown extension(s)."
-2146881022,  	"ASN1 end of data expected"
-2146877439,  	"The request subject name is invalid or too long."
-2146877438,  	"The request does not exist."
-2146877437,  	"The request's current status does not allow this operation."
-2146877436,  	"The requested property value is empty."
-2146877435,  	"The certification authority's certificate contains invalid data."
-2146877434,  	"Certificate service has been suspended for a database restore operation."
-2146877433,  	"The certificate contains an encoded length that is potentially incompatible with older enrollment software."
-2146877432,  	"The operation is denied. The user has multiple roles assigned and the certification authority is configured to enforce role separation."
-2146877431,  	"The operation is denied. It can only be performed by a certificate manager that is allowed to manage certificates for the current requester."
-2146877430,  	"Cannot archive private key.  The certification authority is not configured for key archival."
-2146877429,  	"Cannot archive private key.  The certification authority could not verify one or more key recovery certificates."
-2146877428,  	"The request is incorrectly formatted.  The encrypted private key must be in an unauthenticated attribute in an outermost signature."
-2146877427,  	"At least one security principal must have the permission to manage this CA."
-2146877426,  	"The request contains an invalid renewal certificate attribute."
-2146877425,  	"An attempt was made to open a Certification Authority database session, but there are already too many active sessions.  The server may need to be configured to allow additional sessions."
-2146877424,  	"A memory reference caused a data alignment fault."
-2146877423,  	"The permissions on this certification authority do not allow the current user to enroll for certificates."
-2146877422,  	"The permissions on the certificate template do not allow the current user to enroll for this type of certificate."
-2146875392,  	"The requested certificate template is not supported by this CA."
-2146875391,  	"The request contains no certificate template information."
-2146875390,  	"The request contains conflicting template information."
-2146875389,  	"The request is missing a required Subject Alternate name extension."
-2146875388,  	"The request is missing a required private key for archival by the server."
-2146875387,  	"The request is missing a required SMIME capabilities extension."
-2146875386,  	"The request was made on behalf of a subject other than the caller.  The certificate template must be configured to require at least one signature to authorize the request."
-2146875385,  	"The request template version is newer than the supported template version."
-2146875384,  	"The template is missing a required signature policy attribute."
-2146875383,  	"The request is missing required signature policy information."
-2146875382,  	"The request is missing one or more required signatures."
-2146875381,  	"One or more signatures did not include the required application or issuance policies.  The request is missing one or more required valid signatures."
-2146875380,  	"The request is missing one or more required signature issuance policies."
